"knockout","k","retained_nodes","efficiency_sum_before","efficiency_sum_after","D_E","LCC_after","D_LCC","components_after","disconnected_pair_fraction","in_strict","in_relax1"
"ABCG2+COL1A2+ITGA5",3,1223,262122.500001569,261380.582144417,0.00283042416102086,1221,0.00163532297628777,3,0.00326930771773415,TRUE,TRUE
"ABCG2+COL1A2+NANOG",3,1223,262102.300001568,261694.682144423,0.00155518611299266,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+COL1A2+POU5F1",3,1223,262098.30000157,261691.015477756,0.00155393805992232,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+CYP7A1+HNF4A",3,1223,262084.350001569,261573.486906326,0.00194923159372029,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+CYP7A1+NANOG",3,1223,262097.850001569,261614.803572993,0.00184300034728657,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+CYP7A1+NR1H4",3,1223,262131.233334902,261591.196430135,0.00206017763658628,1222,0.000817661488143884,2,0.00163532297628777,TRUE,TRUE
"ABCG2+CYP7A1+RXRA",3,1223,262110.666668236,261587.803572992,0.00199481807394897,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+F2+NANOG",3,1223,262080.850001568,261641.165477755,0.00167766749768539,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+F2+NR1I2",3,1223,262127.766668236,261653.965477755,0.00180752003690043,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+F2+POU5F1",3,1223,262076.850001569,261637.498811088,0.00167642121186262,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+F2+VWF",3,1223,262084.700001569,261629.515477754,0.00173678403894484,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+HNF4A+NR1H4",3,1223,262084.366668235,261607.558334898,0.00181929330390285,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+HNF4A+POU5F1",3,1223,262046.983334903,261610.598811089,0.00166529115603631,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+ITGA5+NANOG",3,1223,262084.683334901,261344.948811083,0.00282250192725964,1221,0.00163532297628777,3,0.00326930771773415,FALSE,FALSE
"ABCG2+ITGA5+POU5F1",3,1223,262080.683334903,261341.282144417,0.00282127313267333,1221,0.00163532297628777,3,0.00326930771773415,FALSE,FALSE
"ABCG2+ITGA5+SPP1",3,1223,262079.083334902,261304.598811083,0.00295515580245498,1221,0.00163532297628777,3,0.00326930771773415,FALSE,FALSE
"ABCG2+ITGA5+THBS1",3,1223,262080.983334903,261321.31547775,0.00289859969039219,1221,0.00163532297628777,3,0.00326930771773415,TRUE,TRUE
"ABCG2+ITGA5+VWF",3,1223,262088.533334902,261334.732144417,0.00287613189670632,1221,0.00163532297628777,3,0.00326930771773415,FALSE,FALSE
"ABCG2+MAOB+NR1I2",3,1223,262150.016668235,261696.248811089,0.00173094727558587,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+MDH2+NANOG",3,1223,262138.600001569,261698.032144422,0.00168066762065489,1222,0.000817661488143884,2,0.00163532297628777,FALSE,TRUE
"ABCG2+MDH2+POU5F1",3,1223,262134.60000157,261694.365477756,0.00167942165517809,1222,0.000817661488143884,2,0.00163532297628777,FALSE,TRUE
"ABCG2+MPO+POU5F1",3,1223,262077.766668236,261604.35119204,0.00180639312603281,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+NR1H4",3,1223,262097.866668235,261650.941668232,0.00170518366167782,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+NTRK1",3,1223,262060.750001568,261647.215477755,0.00157801015150139,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+NTRK2",3,1223,262059.283334901,261606.958334897,0.00172604074256688,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+RXRA",3,1223,262077.300001568,261633.948811088,0.00169168100586425,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+SPP1",3,1223,262058.883334902,261618.115477755,0.00168194205644867,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+THBS1",3,1223,262060.783334902,261635.415477756,0.00162316486936176,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+TJP1",3,1223,262044.600001569,261553.277382518,0.00187495799970261,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NANOG+VIM",3,1223,262057.216668236,261637.865477756,0.00160022759842915,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
"ABCG2+NR1H4+NR1I2",3,1223,262144.783334902,261654.625001565,0.00186980006659576,1222,0.000817661488143884,2,0.00163532297628777,TRUE,TRUE
"ABCG2+NR1H4+RXRA",3,1223,262110.683334902,261623.94166823,0.00185700811763523,1222,0.000817661488143884,2,0.00163532297628777,FALSE,FALSE
